age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_50K
33,Private,240763,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,Black,Male,0,0,40,United_States,0
42,Private,136986,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,7688,0,50,United_States,1
51,Local_gov,101119,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,70,United_States,0
59,Self_emp_not_inc,124771,Bachelors,13,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,30,United_States,0
31,Private,171871,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,46,United_States,0
45,Private,135339,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,45,United_States,0
39,Self_emp_not_inc,222204,Some_college,10,Divorced,Other_service,Not_in_family,White,Female,3325,0,40,United_States,0
56,Federal_gov,255386,Some_college,10,Married_civ_spouse,Adm_clerical,Husband,Asian_Pac_Islander,Male,0,0,40,Laos,0
35,Private,211154,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,45,United_States,0
75,Self_emp_not_inc,31428,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,3456,0,40,United_States,0
71,Self_emp_not_inc,31781,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,1510,35,United_States,0
46,Self_emp_not_inc,317253,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,25,United_States,0
37,Private,333305,Doctorate,16,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,0,35,United_States,0
30,Private,337908,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Wife,Black,Female,0,0,20,United_States,0
75,State_gov,220618,Some_college,10,Widowed,Adm_clerical,Not_in_family,White,Female,0,0,10,United_States,0
29,Private,179768,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,50,United_States,0
51,Private,231919,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,45,United_States,0
41,Private,34037,HS_grad,9,Never_married,Handlers_cleaners,Not_in_family,White,Male,0,0,40,United_States,0
18,?,28357,Some_college,10,Never_married,?,Own_child,White,Female,0,0,20,United_States,0
30,Local_gov,19302,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,4386,0,70,Germany,1
35,Private,200426,Assoc_voc,11,Married_spouse_absent,Prof_specialty,Unmarried,White,Female,0,0,44,United_States,0
40,Private,240698,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,1
39,Private,193689,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
42,Local_gov,263871,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,8,United_States,0
46,Self_emp_inc,283004,Assoc_voc,11,Divorced,Exec_managerial,Unmarried,Asian_Pac_Islander,Female,0,0,63,Thailand,0
40,Federal_gov,199303,Assoc_acdm,12,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,1
31,Local_gov,48520,Assoc_acdm,12,Never_married,Protective_serv,Unmarried,White,Male,0,0,40,United_States,0
23,Private,181820,Some_college,10,Never_married,Handlers_cleaners,Own_child,White,Male,0,0,20,United_States,0
68,Self_emp_inc,31661,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,65,United_States,0
41,Private,183203,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,50,United_States,1
23,Local_gov,250165,Bachelors,13,Never_married,Prof_specialty,Own_child,White,Female,594,0,40,United_States,0
17,Private,313444,12th,8,Never_married,Sales,Own_child,White,Female,0,0,20,United_States,0
54,Private,146551,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,54,United_States,1
36,Private,188571,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
60,Private,216574,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,1
53,Local_gov,283602,Masters,14,Married_civ_spouse,Prof_specialty,Wife,White,Female,15024,0,40,United_States,1
54,Private,155408,HS_grad,9,Widowed,Handlers_cleaners,Unmarried,White,Female,0,0,40,United_States,0
25,Local_gov,206002,HS_grad,9,Divorced,Tech_support,Unmarried,White,Female,0,0,40,United_States,0
21,Private,92863,HS_grad,9,Never_married,Machine_op_inspct,Not_in_family,White,Male,0,0,40,United_States,0
34,Private,157024,10th,6,Never_married,Other_service,Unmarried,Black,Female,0,0,20,United_States,0
57,Private,217886,HS_grad,9,Widowed,Adm_clerical,Not_in_family,White,Female,0,0,36,United_States,0
41,Private,96635,HS_grad,9,Never_married,Exec_managerial,Not_in_family,Asian_Pac_Islander,Male,0,0,60,United_States,0
32,Private,206541,11th,7,Divorced,Craft_repair,Own_child,White,Male,0,0,50,United_States,0
28,Local_gov,197932,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,0,0,16,United_States,0
47,Private,268022,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,55,United_States,1
39,Private,121468,Bachelors,13,Never_married,Exec_managerial,Own_child,Asian_Pac_Islander,Female,0,0,35,United_States,0
26,Private,410240,11th,7,Never_married,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,0
29,Local_gov,211032,Assoc_acdm,12,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,72,United_States,1
30,Private,112115,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,60,Ireland,1
27,Private,124953,HS_grad,9,Never_married,Other_service,Not_in_family,White,Male,0,1980,40,United_States,0
46,Federal_gov,344415,Masters,14,Married_civ_spouse,Armed_Forces,Husband,White,Male,0,1887,40,United_States,1
33,Private,198727,HS_grad,9,Divorced,Tech_support,Not_in_family,White,Female,0,0,40,United_States,0
23,Private,193586,Some_college,10,Separated,Farming_fishing,Other_relative,White,Female,0,0,40,United_States,0
24,?,108495,HS_grad,9,Never_married,?,Own_child,White,Male,0,0,40,United_States,0
50,Private,125417,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,7298,0,65,United_States,1
46,Private,110151,Assoc_voc,11,Divorced,Exec_managerial,Unmarried,White,Female,0,0,45,United_States,0
37,Self_emp_not_inc,150993,11th,7,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,45,United_States,0
47,Local_gov,246891,Bachelors,13,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,0
55,Private,107308,Assoc_voc,11,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
43,Private,194636,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,48,United_States,1
55,Private,200992,Some_college,10,Widowed,Other_service,Not_in_family,White,Female,0,0,35,United_States,0
37,Private,280966,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,50,United_States,1
34,Private,235271,Some_college,10,Never_married,Machine_op_inspct,Own_child,White,Male,0,0,86,United_States,1
41,?,307589,Bachelors,13,Married_civ_spouse,?,Wife,Asian_Pac_Islander,Female,0,0,5,Philippines,0
49,Private,48120,HS_grad,9,Never_married,Transport_moving,Unmarried,Black,Female,1506,0,40,United_States,0
58,Private,142182,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,25,United_States,0
23,?,62507,Some_college,10,Never_married,?,Not_in_family,White,Female,0,0,12,United_States,0
57,Private,190942,1st_4th,2,Widowed,Priv_house_serv,Not_in_family,Black,Female,0,0,30,United_States,0
35,Private,112158,10th,6,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
30,Private,143526,Bachelors,13,Never_married,Sales,Own_child,White,Male,0,0,40,United_States,0
21,Private,26842,Some_college,10,Never_married,Sales,Not_in_family,White,Female,0,0,20,United_States,0
31,Private,175548,HS_grad,9,Never_married,Other_service,Not_in_family,Other,Female,0,0,35,United_States,0
53,State_gov,197184,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,70,United_States,1
66,Self_emp_inc,197816,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,10605,0,40,United_States,1
58,Private,107897,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,7688,0,40,United_States,1
26,Private,187248,HS_grad,9,Married_civ_spouse,Prof_specialty,Not_in_family,Black,Male,0,0,40,United_States,0
27,Private,445365,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Male,0,0,40,United_States,0
20,?,163911,Some_college,10,Never_married,?,Own_child,White,Female,0,0,40,United_States,0
51,Private,163027,HS_grad,9,Divorced,Handlers_cleaners,Unmarried,White,Female,0,0,20,United_States,0
43,Private,243580,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,1
37,Private,259882,Assoc_voc,11,Never_married,Sales,Unmarried,Black,Female,0,0,6,United_States,0
20,Private,190772,Assoc_acdm,12,Never_married,Other_service,Not_in_family,White,Female,0,0,40,United_States,0
38,Private,101387,HS_grad,9,Married_civ_spouse,Other_service,Wife,White,Female,0,0,43,United_States,0
27,Private,267325,HS_grad,9,Married_civ_spouse,Sales,Wife,White,Female,3464,0,40,United_States,0
44,Self_emp_inc,64632,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,60,United_States,0
39,Private,205338,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,60,United_States,0
50,Private,163671,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
64,Private,217802,HS_grad,9,Widowed,Craft_repair,Not_in_family,White,Female,0,0,40,United_States,0
61,Private,119684,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,0,0,50,United_States,0
38,Local_gov,123983,Bachelors,13,Never_married,Exec_managerial,Unmarried,Asian_Pac_Islander,Male,0,1741,40,Vietnam,0
31,Private,163303,Assoc_voc,11,Divorced,Sales,Own_child,White,Female,0,0,38,United_States,0
19,Private,40425,Some_college,10,Never_married,Sales,Not_in_family,White,Female,0,0,28,United_States,0
37,Self_emp_inc,291518,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,White,Male,15024,0,55,United_States,1
24,Private,174845,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
39,Private,191342,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,Philippines,1
34,Private,173854,Masters,14,Divorced,Exec_managerial,Not_in_family,White,Male,27828,0,60,United_States,1
24,?,196388,Assoc_acdm,12,Never_married,?,Not_in_family,White,Male,0,0,12,United_States,0
38,Private,143123,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
33,Self_emp_not_inc,24504,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,60,United_States,0
33,Private,400416,10th,6,Never_married,Other_service,Own_child,Black,Male,0,0,20,United_States,0
25,Private,174545,HS_grad,9,Never_married,Adm_clerical,Unmarried,White,Female,0,0,46,United_States,0
36,Self_emp_not_inc,258289,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,0,0,35,United_States,0
49,Private,82572,Some_college,10,Never_married,Other_service,Not_in_family,White,Female,0,0,60,United_States,0
39,Federal_gov,257175,Bachelors,13,Divorced,Tech_support,Unmarried,Black,Female,0,625,40,United_States,0
26,Private,152855,HS_grad,9,Never_married,Exec_managerial,Own_child,Other,Female,0,0,40,Mexico,0
70,Private,278139,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,3432,0,40,United_States,0
57,Self_emp_not_inc,57071,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,3137,0,40,United_States,0
28,Private,109001,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,38,United_States,1
19,Private,282698,7th_8th,4,Never_married,Adm_clerical,Own_child,White,Male,0,0,80,United_States,0
34,Federal_gov,341051,Masters,14,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,50,United_States,1
21,Private,376393,HS_grad,9,Never_married,Adm_clerical,Own_child,White,Female,0,0,25,United_States,0
38,Private,324053,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,1
90,Private,51744,HS_grad,9,Never_married,Other_service,Not_in_family,Black,Male,0,2206,40,United_States,0
32,Self_emp_inc,124052,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,0
33,Private,272669,Assoc_acdm,12,Never_married,Adm_clerical,Unmarried,Asian_Pac_Islander,Male,0,0,30,Hong,0
46,Self_emp_not_inc,525848,11th,7,Married_civ_spouse,Transport_moving,Husband,Black,Male,0,0,48,United_States,0
34,Self_emp_not_inc,313729,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,60,United_States,1
41,Private,173858,HS_grad,9,Married_civ_spouse,Other_service,Husband,Asian_Pac_Islander,Male,0,0,40,China,0
19,?,80978,HS_grad,9,Never_married,?,Own_child,White,Female,0,0,25,United_States,0
33,Self_emp_not_inc,175502,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,60,United_States,0
30,Private,53285,Assoc_voc,11,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
25,Private,135845,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,0,0,40,United_States,0
25,Private,188507,7th_8th,4,Never_married,Machine_op_inspct,Other_relative,White,Female,0,0,40,Dominican_Republic,0
17,Private,95446,10th,6,Never_married,Other_service,Own_child,White,Male,0,0,15,United_States,0
47,Private,274200,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,7298,0,40,United_States,1
51,Private,105788,5th_6th,3,Separated,Other_service,Unmarried,Black,Female,0,0,40,Scotland,0
31,Private,31510,Assoc_acdm,12,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
33,Private,195770,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
51,Private,89652,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,4787,0,24,United_States,1
32,Private,133530,Masters,14,Married_civ_spouse,Prof_specialty,Wife,Asian_Pac_Islander,Female,0,0,20,United_States,0
24,Private,192201,Some_college,10,Never_married,Exec_managerial,Not_in_family,Black,Female,0,0,20,United_States,0
45,Federal_gov,90533,Bachelors,13,Never_married,Exec_managerial,Not_in_family,White,Female,0,0,45,United_States,0
41,Private,143003,Assoc_voc,11,Married_civ_spouse,Other_service,Husband,Asian_Pac_Islander,Male,7298,0,60,India,1
25,Private,186370,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,40,United_States,0
31,Private,66815,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,50,United_States,0
24,Private,186221,11th,7,Divorced,Sales,Unmarried,White,Female,0,0,35,United_States,0
48,Self_emp_inc,192945,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,7688,0,40,United_States,1
59,?,220783,10th,6,Widowed,?,Unmarried,White,Female,0,0,40,United_States,0
37,Self_emp_not_inc,326400,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,30,United_States,0
41,Private,211253,Masters,14,Married_civ_spouse,Exec_managerial,Wife,White,Female,0,0,40,United_States,1
38,Self_emp_not_inc,331374,11th,7,Married_civ_spouse,Other_service,Husband,White,Male,0,0,60,United_States,0
56,Private,102106,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,40,United_States,0
34,Private,35595,Assoc_voc,11,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,40,United_States,0
81,Private,98116,Bachelors,13,Widowed,Sales,Not_in_family,White,Male,0,0,50,United_States,1
36,Local_gov,101833,Bachelors,13,Separated,Prof_specialty,Not_in_family,White,Male,0,0,40,United_States,0
26,Private,112847,Assoc_voc,11,Never_married,Tech_support,Own_child,White,Male,0,0,40,United_States,0
29,Private,134813,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,50,United_States,0
41,Private,116391,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,1
59,Private,750972,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,0
31,Private,80511,Assoc_acdm,12,Divorced,Tech_support,Not_in_family,White,Female,0,0,44,United_States,0
24,Private,314440,HS_grad,9,Never_married,Machine_op_inspct,Not_in_family,White,Female,0,0,40,United_States,0
31,Private,164243,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,0,1579,40,United_States,0
20,Private,325033,12th,8,Never_married,Other_service,Own_child,Black,Male,0,0,35,United_States,1
32,Private,164197,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,60,United_States,1
25,Federal_gov,207342,Some_college,10,Never_married,Exec_managerial,Not_in_family,Black,Male,0,0,40,United_States,0
43,Self_emp_not_inc,245056,Preschool,1,Married_civ_spouse,Transport_moving,Husband,Black,Male,0,0,40,Haiti,0
45,Private,196584,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Female,0,1564,40,United_States,1
50,Federal_gov,251585,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Male,0,0,55,United_States,1
40,Private,59916,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,0
60,Self_emp_not_inc,95445,Some_college,10,Married_civ_spouse,Transport_moving,Husband,White,Male,3137,0,46,United_States,0
31,Self_emp_not_inc,325355,Bachelors,13,Married_civ_spouse,Exec_managerial,Wife,White,Female,0,1902,40,United_States,1
19,Private,69182,Some_college,10,Never_married,Other_service,Own_child,White,Female,0,0,27,United_States,0
36,Private,229180,Some_college,10,Divorced,Craft_repair,Unmarried,White,Female,0,0,40,Cuba,0
27,Self_emp_not_inc,259873,HS_grad,9,Married_civ_spouse,Other_service,Husband,Black,Male,0,0,60,United_States,1
26,Private,366889,HS_grad,9,Never_married,Transport_moving,Not_in_family,White,Male,0,0,40,United_States,0
38,Private,207568,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,5178,0,40,United_States,1
49,Private,50567,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,32,United_States,0
43,Private,196344,5th_6th,3,Married_civ_spouse,Other_service,Husband,White,Male,0,0,40,Mexico,0
19,Private,196857,11th,7,Never_married,Adm_clerical,Own_child,White,Female,594,0,15,United_States,0
31,Private,209101,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,1
46,Local_gov,199281,Bachelors,13,Separated,Prof_specialty,Unmarried,White,Male,0,0,40,United_States,0
17,?,165361,10th,6,Never_married,?,Own_child,White,Male,0,0,40,United_States,0
60,Private,198727,HS_grad,9,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,30,United_States,0
36,State_gov,180220,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,0
47,Private,78022,Assoc_acdm,12,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,0
81,State_gov,132204,1st_4th,2,Widowed,Other_service,Not_in_family,White,Female,0,0,20,United_States,0
32,Private,56150,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,0
44,Private,201599,11th,7,Never_married,Machine_op_inspct,Unmarried,Black,Female,0,0,40,United_States,0
36,State_gov,116554,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,0
30,Private,275232,Assoc_acdm,12,Never_married,Prof_specialty,Unmarried,Black,Female,0,0,36,United_States,0
85,Private,188328,Masters,14,Widowed,Prof_specialty,Not_in_family,White,Female,0,0,5,United_States,0
30,State_gov,136997,HS_grad,9,Divorced,Exec_managerial,Unmarried,White,Female,0,0,40,United_States,0
18,Private,251923,11th,7,Never_married,Sales,Own_child,White,Female,0,0,15,United_States,0
27,Private,236481,Prof_school,15,Never_married,Prof_specialty,Not_in_family,Asian_Pac_Islander,Male,0,0,10,India,0
38,Private,82622,Some_college,10,Divorced,Craft_repair,Unmarried,White,Male,0,0,40,United_States,0
21,Private,219137,10th,6,Never_married,Other_service,Own_child,Black,Male,0,0,25,United_States,0
